# ROTF recovery work-list:  Tag|youtube_url   (Tag = frames dir + spec name)
# Curated per-dungeon from yt-dlp searches. Long raw runs/streams = best for fights+taunts.
# === DUNGEONS WITH DEDICATED FOOTAGE ===
disc_SWYl0ULzh4s|https://youtu.be/SWYl0ULzh4s
disc_76nTPZv3lMM|https://youtu.be/76nTPZv3lMM
disc_O84bs7l6LQw|https://youtu.be/O84bs7l6LQw
disc_a-sQoiR3JZI|https://youtu.be/a-sQoiR3JZI
disc_nFN8h1GVL-o|https://youtu.be/nFN8h1GVL-o
disc_i-VTyr8Ho1M|https://youtu.be/i-VTyr8Ho1M
disc_eqBDiyDTap4|https://youtu.be/eqBDiyDTap4
disc_8gMVtvs5CVs|https://youtu.be/8gMVtvs5CVs
disc_v6HXKS92zAI|https://youtu.be/v6HXKS92zAI
disc_M04fBHBpodE|https://youtu.be/M04fBHBpodE
disc_E03Je5EgiZQ|https://youtu.be/E03Je5EgiZQ
disc_tbG9HBrXyI8|https://youtu.be/tbG9HBrXyI8
disc_mHY6O5kMU1I|https://youtu.be/mHY6O5kMU1I
disc_rUXA2fiegc0|https://youtu.be/rUXA2fiegc0
disc_KBzHN9gFmGg|https://youtu.be/KBzHN9gFmGg
disc_ONFXatmUVNI|https://youtu.be/ONFXatmUVNI
disc_FmlAvT_v6ZE|https://youtu.be/FmlAvT_v6ZE
disc_srX18YxFFXQ|https://youtu.be/srX18YxFFXQ
disc_rzoDJKwwSOU|https://youtu.be/rzoDJKwwSOU
disc_PYepJXh-RR8|https://youtu.be/PYepJXh-RR8
disc_yx3v-ALGfP0|https://youtu.be/yx3v-ALGfP0
disc_pEkeJiebsJg|https://youtu.be/pEkeJiebsJg
disc_N3QQ4CHqg9E|https://youtu.be/N3QQ4CHqg9E
disc_oa8PrU7rdiw|https://youtu.be/oa8PrU7rdiw
disc_Tp1_tkPKLyg|https://youtu.be/Tp1_tkPKLyg
disc_uFUNEp1GwPM|https://youtu.be/uFUNEp1GwPM
disc_g-ONuo1vwDM|https://youtu.be/g-ONuo1vwDM
disc_WtO1rtdfC9U|https://youtu.be/WtO1rtdfC9U
disc_bT-s0N7PZR0|https://youtu.be/bT-s0N7PZR0
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_A12AII1Q_nQ|https://youtu.be/A12AII1Q_nQ
disc_KQfmUbCQOVY|https://youtu.be/KQfmUbCQOVY
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_LNLtGQ4onaI|https://youtu.be/LNLtGQ4onaI
disc_ayl3UXKpH1g|https://youtu.be/ayl3UXKpH1g
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_Fx5_2g1_1O4|https://youtu.be/Fx5_2g1_1O4
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_ZAtmVdyEXcs|https://youtu.be/ZAtmVdyEXcs
disc_k1Yg0c2rySM|https://youtu.be/k1Yg0c2rySM
disc_m30Lq2tVK54|https://youtu.be/m30Lq2tVK54
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_61_b9zF-2_E|https://youtu.be/61_b9zF-2_E
disc_aBMAnx9GOmo|https://youtu.be/aBMAnx9GOmo
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_pPVFeHzz3co|https://youtu.be/pPVFeHzz3co
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_Pm8oDRr6dmY|https://youtu.be/Pm8oDRr6dmY
disc_rUsOS8maIww|https://youtu.be/rUsOS8maIww
disc_FaFhAKAOA0Q|https://youtu.be/FaFhAKAOA0Q
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-6vamTYvqtU|https://youtu.be/-6vamTYvqtU
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_lUZoGxrhaPU|https://youtu.be/lUZoGxrhaPU
disc_AAQEUfbwkyQ|https://youtu.be/AAQEUfbwkyQ
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_nwVmNu5eIx8|https://youtu.be/nwVmNu5eIx8
disc_-6vamTYvqtU|https://youtu.be/-6vamTYvqtU
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_-6vamTYvqtU|https://youtu.be/-6vamTYvqtU
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
